image	chan	mean	median	sigma	min	max	noise	avgDev	mad	sqrtbwmv	location	scale
31	0	9.379675e-04	8.986813e-04	1.458817e-03	0.000000e+00	7.988471e-01	3.561087e-05	8.258388e-05	3.994173e-05	6.172301e-05	8.965908e-04	5.936993e-05
31	1	1.867757e-03	1.801099e-03	1.941195e-03	1.344587e-03	1.000000e+00	4.004329e-05	1.158581e-04	4.710319e-05	7.372884e-05	1.797571e-03	6.979833e-05
31	2	1.268414e-03	1.221265e-03	1.691338e-03	4.435455e-04	9.388476e-01	3.571938e-05	9.242403e-05	4.175382e-05	6.459126e-05	1.218940e-03	6.205662e-05
32	0	1.356004e-03	1.320857e-03	1.334300e-03	0.000000e+00	7.447364e-01	3.266580e-05	7.467686e-05	3.626196e-05	5.603028e-05	1.318975e-03	5.392079e-05
32	1	2.190327e-03	2.130785e-03	1.769156e-03	1.685470e-03	1.000000e+00	3.657172e-05	1.044282e-04	4.275634e-05	6.670307e-05	2.127534e-03	6.317259e-05
32	2	1.662746e-03	1.620618e-03	1.547274e-03	1.018323e-03	8.858269e-01	3.276725e-05	8.362493e-05	3.817901e-05	5.890599e-05	1.618563e-03	5.663671e-05
33	0	1.674832e-03	1.640655e-03	1.309381e-03	0.000000e+00	6.963617e-01	3.228617e-05	7.335669e-05	3.594811e-05	5.545856e-05	1.638841e-03	5.339744e-05
33	1	2.524463e-03	2.466501e-03	1.749123e-03	2.152536e-03	1.000000e+00	3.616820e-05	1.024140e-04	4.230289e-05	6.591596e-05	2.463318e-03	6.246115e-05
33	2	1.984367e-03	1.943403e-03	1.533368e-03	1.273652e-03	8.839619e-01	3.235943e-05	8.195927e-05	3.770873e-05	5.811722e-05	1.941405e-03	5.589876e-05
34	0	1.631629e-03	1.598819e-03	1.262575e-03	0.000000e+00	6.933662e-01	3.114051e-05	7.140432e-05	3.539350e-05	5.455346e-05	1.597060e-03	5.256081e-05
34	1	2.402340e-03	2.346799e-03	1.690345e-03	1.777387e-03	1.000000e+00	3.479657e-05	9.962344e-05	4.190722e-05	6.511842e-05	2.343737e-03	6.180795e-05
34	2	1.915875e-03	1.876244e-03	1.499145e-03	1.155153e-03	9.197567e-01	3.131214e-05	7.984604e-05	3.708866e-05	5.695952e-05	1.874275e-03	5.480573e-05
35	0	7.050479e-04	6.798988e-04	1.010538e-03	0.000000e+00	6.032314e-01	2.541479e-05	5.733729e-05	2.921965e-05	4.504791e-05	6.785599e-04	4.349408e-05
35	1	1.374324e-03	1.331545e-03	1.358906e-03	8.411578e-04	1.000000e+00	2.845425e-05	8.041805e-05	3.543733e-05	5.477196e-05	1.329151e-03	5.215291e-05
35	2	9.333012e-04	9.029242e-04	1.204736e-03	3.873260e-04	8.948579e-01	2.549577e-05	6.370926e-05	3.057870e-05	4.685134e-05	9.014370e-04	4.517516e-05
36	0	8.211275e-04	7.816578e-04	1.520332e-03	0.000000e+00	8.520623e-01	3.451437e-05	8.669897e-05	4.239011e-05	6.590433e-05	7.795200e-04	6.345445e-05
36	1	1.809426e-03	1.741875e-03	2.018176e-03	1.351088e-03	1.000000e+00	3.941220e-05	1.242058e-04	5.276257e-05	8.276744e-05	1.738142e-03	7.862304e-05
36	2	1.173598e-03	1.124793e-03	1.746229e-03	4.008788e-04	8.932551e-01	3.465762e-05	9.439929e-05	4.170074e-05	6.487899e-05	1.122409e-03	6.222312e-05
37	0	1.589536e-03	1.553593e-03	1.418679e-03	0.000000e+00	8.129698e-01	3.252896e-05	8.169280e-05	4.084241e-05	6.344273e-05	1.551674e-03	6.118691e-05
37	1	2.512502e-03	2.451352e-03	1.882370e-03	1.962314e-03	1.000000e+00	3.703347e-05	1.164018e-04	5.069495e-05	7.957786e-05	2.447954e-03	7.576464e-05
37	2	1.937413e-03	1.893324e-03	1.638754e-03	8.828609e-04	8.697776e-01	3.263343e-05	8.754339e-05	3.945331e-05	6.137327e-05	1.891142e-03	5.896263e-05
38	0	7.144712e-04	6.813720e-04	1.353456e-03	0.000000e+00	7.813981e-01	3.121206e-05	7.645620e-05	3.909469e-05	6.036890e-05	6.795852e-04	5.830309e-05
38	1	1.616964e-03	1.561312e-03	1.779371e-03	1.019468e-03	1.000000e+00	3.536586e-05	1.081908e-04	4.852001e-05	7.545189e-05	1.558152e-03	7.199545e-05
38	2	1.027810e-03	9.880112e-04	1.552186e-03	1.572251e-04	9.212226e-01	3.146734e-05	8.194318e-05	3.849248e-05	5.922680e-05	9.860588e-04	5.704458e-05
